Price,Time,Airlines,Stops,Duration
$583,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$464,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$467,1:40 pm – 10:00 pm,"Norwegian, Norse Atlantic Airways",1 stop,15h 20mHEL-JFK
$468,7:10 am – 12:55 pm,Scandinavian Airlines,1 stop,12h 45mHEL-EWR
$474,10:00 am – 10:00 pm,Scandinavian Airlines,1 stop,19h 00mHEL-JFK
$484,10:00 am – 7:22 pm,Scandinavian Airlines,2 stops,16h 22mHEL-EWR
$495,10:00 am – 2:55 pm,Scandinavian Airlines,1 stop,11h 55mHEL-EWR
$495,4:55 pm – 10:00 pm,Scandinavian Airlines,1 stop,12h 05mHEL-JFK
$499,9:20 am – 12:55 pm,Scandinavian Airlines,1 stop,10h 35mHEL-EWR
$534,3:45 pm – 10:00 pm,"Norwegian, Norse Atlantic Airways",2 stops,13h 15mHEL-JFK
$537,2:45 pm – 10:00 pm,"Scandinavian Airlines, Norse Atlantic Airways",2 stops,14h 15mHEL-JFK
$544,7:10 am – 3:50 pm,"Scandinavian Airlines, Norse Atlantic UK",2 stops,15h 40mHEL-JFK
$565,2:25 pm – 10:00 pm,Multiple airlines,2 stops,14h 35mHEL-JFK
$589,2:45 pm – 10:00 pm,"Scandinavian Airlines, Norse Atlantic Airways",2 stops,14h 15mHEL-JFK
$605,5:25 am – 3:50 pm,"airBaltic, Norse Atlantic UK",2 stops,17h 25mHEL-JFK
$612,7:15 am – 12:55 pm,"Norwegian, Scandinavian Airlines",1 stop,12h 40mHEL-EWR
$583,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$464,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$774,5:20 pm – 7:05 pm,Iberia,nonstop,8h 45mHEL-JFK
$499,9:20 am – 12:55 pm,Scandinavian Airlines,1 stop,10h 35mHEL-EWR
$495,10:00 am – 2:55 pm,Scandinavian Airlines,1 stop,11h 55mHEL-EWR
$495,4:55 pm – 10:00 pm,Scandinavian Airlines,1 stop,12h 05mHEL-JFK
$468,7:10 am – 12:55 pm,Scandinavian Airlines,1 stop,12h 45mHEL-EWR
$727,2:05 pm – 7:58 pm,Finnair,1 stop,12h 53mHEL-JFK
$467,1:40 pm – 10:00 pm,"Norwegian, Norse Atlantic Airways",1 stop,15h 20mHEL-JFK
$659,4:05 pm – 10:15 pm,"Finnair, Norse Atlantic Airways",1 stop,13h 10mHEL-JFK
$890,1:55 pm – 7:15 pm,Air France,1 stop,12h 20mHEL-JFK
$612,7:15 am – 12:55 pm,"Norwegian, Scandinavian Airlines",1 stop,12h 40mHEL-EWR
$474,10:00 am – 10:00 pm,Scandinavian Airlines,1 stop,19h 00mHEL-JFK
$484,10:00 am – 7:22 pm,Scandinavian Airlines,2 stops,16h 22mHEL-EWR
$868,4:00 pm – 9:50 pm,British Airways,1 stop,12h 50mHEL-JFK
$654,7:25 am – 12:55 pm,"Finnair, Scandinavian Airlines",1 stop,12h 30mHEL-EWR
$583,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$774,5:20 pm – 7:05 pm,Iberia,nonstop,8h 45mHEL-JFK
"$2,443",5:20 pm – 7:05 pm,Finnair,nonstop,8h 45mHEL-JFK
"$2,447",5:20 pm – 7:05 pm,American Airlines,nonstop,8h 45mHEL-JFK
"$2,448",5:20 pm – 7:05 pm,British Airways,nonstop,8h 45mHEL-JFK
$499,9:20 am – 12:55 pm,Scandinavian Airlines,1 stop,10h 35mHEL-EWR
"$1,299",3:05 pm – 7:10 pm,Icelandair,1 stop,11h 05mHEL-JFK
$464,3:05 pm – 7:15 pm,Icelandair,1 stop,11h 10mHEL-EWR
$495,10:00 am – 2:55 pm,Scandinavian Airlines,1 stop,11h 55mHEL-EWR
$495,4:55 pm – 10:00 pm,Scandinavian Airlines,1 stop,12h 05mHEL-JFK
$890,1:55 pm – 7:15 pm,Air France,1 stop,12h 20mHEL-JFK
$948,1:55 pm – 7:15 pm,KLM,1 stop,12h 20mHEL-JFK
"$1,311",1:55 pm – 7:15 pm,Delta,1 stop,12h 20mHEL-JFK
"$2,491",2:05 pm – 7:30 pm,Finnair,1 stop,12h 25mHEL-EWR
"$2,498",2:05 pm – 7:30 pm,British Airways,1 stop,12h 25mHEL-EWR
"$2,498",2:05 pm – 7:30 pm,American Airlines,1 stop,12h 25mHEL-EWR
$893,6:20 am – 12:40 pm,Air France,1 stop,13h 20mHEL-JFK
"$1,313",6:20 am – 12:40 pm,Delta,1 stop,13h 20mHEL-JFK
$849,6:10 am – 12:45 pm,Lufthansa,1 stop,13h 35mHEL-EWR
"$1,097",6:10 am – 12:45 pm,United Airlines,1 stop,13h 35mHEL-EWR
"$1,167",6:10 am – 12:45 pm,Lufthansa,1 stop,13h 35mHEL-EWR
"$1,167",6:10 am – 12:45 pm,Lufthansa,1 stop,13h 35mHEL-EWR
$468,7:10 am – 12:55 pm,Scandinavian Airlines,1 stop,12h 45mHEL-EWR
$499,9:20 am – 12:55 pm,Scandinavian Airlines,1 stop,10h 35mHEL-EWR
$612,7:15 am – 12:55 pm,"Norwegian, Scandinavian Airlines",1 stop,12h 40mHEL-EWR
$654,7:25 am – 12:55 pm,"Finnair, Scandinavian Airlines",1 stop,12h 30mHEL-EWR
"$1,616",7:10 am – 1:15 pm,Scandinavian Airlines,2 stops,13h 05mHEL-EWR
"$1,616",7:10 am – 1:15 pm,Scandinavian Airlines,2 stops,13h 05mHEL-EWR
"$1,616",7:10 am – 1:15 pm,Scandinavian Airlines,2 stops,13h 05mHEL-EWR
"$1,008",7:00 am – 1:25 pm,KLM,1 stop,13h 25mHEL-JFK
"$1,305",7:00 am – 1:25 pm,Delta,1 stop,13h 25mHEL-JFK
$948,7:40 pm – 4:30 am+1,Turkish Airlines,1 stop,15h 50mHEL-JFK
$774,5:20 pm – 7:05 pm,Iberia,nonstop,8h 45mHEL-JFK
"$2,443",5:20 pm – 7:05 pm,Finnair,nonstop,8h 45mHEL-JFK
"$2,447",5:20 pm – 7:05 pm,American Airlines,nonstop,8h 45mHEL-JFK
"$2,448",5:20 pm – 7:05 pm,British Airways,nonstop,8h 45mHEL-JFK
$495,4:55 pm – 10:00 pm,Scandinavian Airlines,1 stop,12h 05mHEL-JFK
$637,4:05 pm – 10:00 pm,"Finnair, Norse Atlantic Airways",1 stop,12h 55mHEL-JFK
$659,4:05 pm – 10:15 pm,"Finnair, Norse Atlantic Airways",1 stop,13h 10mHEL-JFK
$868,4:00 pm – 9:50 pm,British Airways,1 stop,12h 50mHEL-JFK
$868,4:00 pm – 10:53 pm,British Airways,1 stop,13h 53mHEL-JFK
"$2,491",4:00 pm – 9:50 pm,Finnair,1 stop,12h 50mHEL-JFK
"$2,491",4:00 pm – 10:53 pm,Finnair,1 stop,13h 53mHEL-JFK
"$2,498",4:00 pm – 9:50 pm,American Airlines,1 stop,12h 50mHEL-JFK
"$2,498",4:00 pm – 10:00 pm,British Airways,1 stop,13h 00mHEL-EWR
"$2,498",4:00 pm – 10:00 pm,American Airlines,1 stop,13h 00mHEL-EWR
